Тематика,Текст обращения,Количество комментариев,Количество репостов
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,94,4
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,21,47
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",74,10
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",27,4
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",62,18
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",48,16
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,64,0
Строительство,погибли бездомные животные изза отравления. отвечает это?,89,50
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,41,24
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,58,7
Строительство,погибли бездомные животные изза отравления. отвечает это?,82,8
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,87,47
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",1,46
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,23,200
Строительство,погибли бездомные животные изза отравления. отвечает это?,22,35
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,34,47
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,50,20
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",27,6
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,60,20
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",37,42
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",46,4
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,18,41
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",12,40
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",56,6
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,25,48
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",8,8
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",8,24
Строительство,погибли бездомные животные изза отравления. отвечает это?,88,5
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",15,27
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",19,34
Строительство,погибли бездомные животные изза отравления. отвечает это?,13,14
Строительство,погибли бездомные животные изза отравления. отвечает это?,10,46
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,49,29
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",54,30
Строительство,погибли бездомные животные изза отравления. отвечает это?,11,40
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,87,18
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",20,34
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",52,34
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",12,47
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",46,10
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,30,14
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",56,33
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",1,4
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,26,47
Строительство,погибли бездомные животные изза отравления. отвечает это?,88,8
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",20,150
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",97,39
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",93,44
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,21,13
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",18,3
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,48,21
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",72,8
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",99,48
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",41,44
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,58,3
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",28,19
Строительство,погибли бездомные животные изза отравления. отвечает это?,40,26
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",34,20
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,96,46
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,44,36
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",41,25
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",56,34
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",84,49
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,64,15
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,34,26
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,88,24
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",97,40
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",45,11
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,19,13
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",24,2
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",61,43
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",74,17
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",150,39
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,43,14
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",40,12
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",99,37
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",64,3
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,5,31
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",70,49
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",40,20
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",65,31
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,1,23
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",10,34
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",87,31
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",41,14
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",9,8
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",12,28
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",25,200
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",69,5
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",95,27
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",67,45
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",36,16
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",29,6
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",63,3
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",83,24
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",7,24
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",35,13
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",56,42
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",3,43
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,85,0
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,73,17
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",3,16
Строительство,погибли бездомные животные изза отравления. отвечает это?,42,7
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",7,20
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",19,50
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",39,3
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",84,9
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",150,29
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",17,45
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",300,10
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",66,12
Строительство,погибли бездомные животные изза отравления. отвечает это?,85,12
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",150,44
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",91,29
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,6,43
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,49,33
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,300,3
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",39,100
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",54,46
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",40,25
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",89,7
