Тематика,Текст обращения,Количество комментариев,Количество репостов
Образование,примите меры! школе хватает учебников учеников х классов.,76,38
Образование,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",35,18
Благоустройство,примите меры! школе хватает учебников учеников х классов.,40,2
Спорт,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",45,20
ЖКХ,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",10,39
ЖКХ,текст отсутствует,92,17
Культура,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",62,35
Социальная поддержка,погибли бездомные животные изза отравления. отвечает это?,5,7
Социальная поддержка,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,40,7
Транспорт,"транспорт ходит большими задержками, особенно вечернее время.",150,47
Образование,примите меры! школе хватает учебников учеников х классов.,0,29
Благоустройство,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",24,9
Транспорт,"воды доме номер вторые сутки, прошу срочно разобраться!",97,41
Транспорт,текст отсутствует,16,2
Экология,примите меры! школе хватает учебников учеников х классов.,54,12
Транспорт,текст отсутствует,89,17
Спорт,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,93,3
Культура,примите меры! школе хватает учебников учеников х классов.,16,21
ЖКХ,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,94,15
ЖКХ,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",61,42
Безопасность,"воды доме номер вторые сутки, прошу срочно разобраться!",51,36
Образование,погибли бездомные животные изза отравления. отвечает это?,29,9
Экология,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",29,37
Здравоохранение,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,0,39
Безопасность,примите меры! школе хватает учебников учеников х классов.,17,29
Безопасность,текст отсутствует,65,1
Образование,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,57,8
Спорт,примите меры! школе хватает учебников учеников х классов.,46,24
Социальная поддержка,погибли бездомные животные изза отравления. отвечает это?,28,5
Образование,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",8,14
Культура,текст отсутствует,50,48
Экология,погибли бездомные животные изза отравления. отвечает это?,49,4
Культура,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",24,45
Здравоохранение,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",93,16
Благоустройство,погибли бездомные животные изза отравления. отвечает это?,200,100
Социальная поддержка,примите меры! школе хватает учебников учеников х классов.,24,8
Транспорт,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",21,25
Спорт,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,9,34
Транспорт,"воды доме номер вторые сутки, прошу срочно разобраться!",46,50
Безопасность,"транспорт ходит большими задержками, особенно вечернее время.",23,13
Благоустройство,погибли бездомные животные изза отравления. отвечает это?,11,43
Экология,текст отсутствует,94,48
не указано,примите меры! школе хватает учебников учеников х классов.,77,3
ЖКХ,погибли бездомные животные изза отравления. отвечает это?,76,23
Транспорт,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",44,24
Безопасность,примите меры! школе хватает учебников учеников х классов.,41,18
Культура,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",77,35
Культура,"транспорт ходит большими задержками, особенно вечернее время.",96,36
Транспорт,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",99,9
Здравоохранение,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",28,32
Культура,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",100,33
Экология,примите меры! школе хватает учебников учеников х классов.,69,0
Спорт,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",30,4
не указано,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",86,38
Культура,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,67,37
Экология,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",19,5
Социальная поддержка,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",11,17
Транспорт,"транспорт ходит большими задержками, особенно вечернее время.",11,9
Здравоохранение,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,84,46
Спорт,"воды доме номер вторые сутки, прошу срочно разобраться!",7,0
Социальная поддержка,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",87,26
Экология,текст отсутствует,88,42
Культура,погибли бездомные животные изза отравления. отвечает это?,18,36
Здравоохранение,примите меры! школе хватает учебников учеников х классов.,8,23
Социальная поддержка,"транспорт ходит большими задержками, особенно вечернее время.",61,2
Экология,погибли бездомные животные изза отравления. отвечает это?,32,13
Транспорт,примите меры! школе хватает учебников учеников х классов.,59,44
Благоустройство,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,43,45
Спорт,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",8,25
ЖКХ,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",6,43
Социальная поддержка,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",76,28
Экология,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",48,34
Социальная поддержка,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",92,31
Социальная поддержка,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,83,0
Культура,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",300,29
Безопасность,"транспорт ходит большими задержками, особенно вечернее время.",150,32
Безопасность,примите меры! школе хватает учебников учеников х классов.,72,3
не указано,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",64,1
Здравоохранение,текст отсутствует,60,25
Спорт,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",35,34
Спорт,примите меры! школе хватает учебников учеников х классов.,77,17
Благоустройство,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",27,16
Спорт,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,29,10
Социальная поддержка,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",29,34
Социальная поддержка,"транспорт ходит большими задержками, особенно вечернее время.",84,33
Здравоохранение,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,32,5
Благоустройство,погибли бездомные животные изза отравления. отвечает это?,15,4
Образование,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,47,40
Безопасность,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",87,24
Культура,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",29,42
Образование,текст отсутствует,43,13
Образование,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,20,150
ЖКХ,погибли бездомные животные изза отравления. отвечает это?,79,35
не указано,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",61,39
Безопасность,погибли бездомные животные изза отравления. отвечает это?,4,10
Культура,примите меры! школе хватает учебников учеников х классов.,45,150
Безопасность,"транспорт ходит большими задержками, особенно вечернее время.",99,15
Образование,"воды доме номер вторые сутки, прошу срочно разобраться!",45,49
ЖКХ,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",27,39
Безопасность,"воды доме номер вторые сутки, прошу срочно разобраться!",25,33
ЖКХ,погибли бездомные животные изза отравления. отвечает это?,45,7
Благоустройство,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",23,16
Безопасность,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,14,3
Образование,погибли бездомные животные изза отравления. отвечает это?,40,28
Культура,погибли бездомные животные изза отравления. отвечает это?,4,22
Безопасность,погибли бездомные животные изза отравления. отвечает это?,32,18
Спорт,погибли бездомные животные изза отравления. отвечает это?,40,37
не указано,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,59,20
Социальная поддержка,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",2,2
Благоустройство,"воды доме номер вторые сутки, прошу срочно разобраться!",53,34
Культура,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",63,7
Безопасность,"воды доме номер вторые сутки, прошу срочно разобраться!",79,26
Безопасность,"транспорт ходит большими задержками, особенно вечернее время.",31,44
ЖКХ,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",71,11
Экология,погибли бездомные животные изза отравления. отвечает это?,64,100
Здравоохранение,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",93,3
ЖКХ,погибли бездомные животные изза отравления. отвечает это?,95,23
Безопасность,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",95,47
Здравоохранение,"транспорт ходит большими задержками, особенно вечернее время.",63,10
ЖКХ,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,87,47
Экология,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",87,7
Экология,"воды доме номер вторые сутки, прошу срочно разобраться!",58,50
Безопасность,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",66,6
Транспорт,примите меры! школе хватает учебников учеников х классов.,28,29
Социальная поддержка,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",50,19
Транспорт,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",72,18
Безопасность,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",6,18
Культура,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,24,0
ЖКХ,"воды доме номер вторые сутки, прошу срочно разобраться!",38,27
Транспорт,"воды доме номер вторые сутки, прошу срочно разобраться!",29,0
Экология,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",56,3
Экология,"транспорт ходит большими задержками, особенно вечернее время.",52,17
Транспорт,примите меры! школе хватает учебников учеников х классов.,200,100
Здравоохранение,примите меры! школе хватает учебников учеников х классов.,20,12
Транспорт,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,72,22
Экология,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",18,100
Благоустройство,примите меры! школе хватает учебников учеников х классов.,32,29
Транспорт,погибли бездомные животные изза отравления. отвечает это?,18,45
ЖКХ,примите меры! школе хватает учебников учеников х классов.,70,12
Экология,примите меры! школе хватает учебников учеников х классов.,92,17
Образование,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",96,22
Образование,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",21,1
Образование,погибли бездомные животные изза отравления. отвечает это?,32,31
Транспорт,примите меры! школе хватает учебников учеников х классов.,71,38
Транспорт,"воды доме номер вторые сутки, прошу срочно разобраться!",83,45
Культура,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",33,30
Безопасность,"транспорт ходит большими задержками, особенно вечернее время.",73,2
Образование,примите меры! школе хватает учебников учеников х классов.,100,9
Транспорт,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,57,42
Культура,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",24,43
Социальная поддержка,погибли бездомные животные изза отравления. отвечает это?,84,16
ЖКХ,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",52,29
ЖКХ,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,5,18
Безопасность,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",66,16
Здравоохранение,примите меры! школе хватает учебников учеников х классов.,94,4
Здравоохранение,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,21,47
Транспорт,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",74,10
Транспорт,"воды доме номер вторые сутки, прошу срочно разобраться!",27,4
ЖКХ,текст отсутствует,28,100
Образование,"воды доме номер вторые сутки, прошу срочно разобраться!",62,18
ЖКХ,"воды доме номер вторые сутки, прошу срочно разобраться!",48,16
Безопасность,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,64,0
Благоустройство,примите меры! школе хватает учебников учеников х классов.,41,18
ЖКХ,погибли бездомные животные изза отравления. отвечает это?,89,50
Социальная поддержка,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,41,24
Благоустройство,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,58,7
Экология,погибли бездомные животные изза отравления. отвечает это?,82,8
Экология,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,87,47
Спорт,"транспорт ходит большими задержками, особенно вечернее время.",1,46
не указано,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,23,200
Образование,погибли бездомные животные изза отравления. отвечает это?,22,35
Транспорт,примите меры! школе хватает учебников учеников х классов.,34,47
Экология,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,50,20
Образование,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",27,6
Образование,текст отсутствует,0,33
Спорт,текст отсутствует,15,3
Транспорт,примите меры! школе хватает учебников учеников х классов.,60,20
Благоустройство,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",37,42
Образование,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",46,4
Социальная поддержка,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,18,41
ЖКХ,"транспорт ходит большими задержками, особенно вечернее время.",12,40
Безопасность,"транспорт ходит большими задержками, особенно вечернее время.",56,6
Благоустройство,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,25,48
ЖКХ,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",8,8
Спорт,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",8,24
Экология,погибли бездомные животные изза отравления. отвечает это?,88,5
Безопасность,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",15,27
Экология,"транспорт ходит большими задержками, особенно вечернее время.",19,34
ЖКХ,погибли бездомные животные изза отравления. отвечает это?,13,14
Культура,погибли бездомные животные изза отравления. отвечает это?,10,46
Социальная поддержка,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,49,29
Культура,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",54,30
Экология,текст отсутствует,46,47
Транспорт,погибли бездомные животные изза отравления. отвечает это?,11,40
Благоустройство,текст отсутствует,300,20
Культура,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,87,18
Экология,"воды доме номер вторые сутки, прошу срочно разобраться!",20,34
Безопасность,"воды доме номер вторые сутки, прошу срочно разобраться!",52,34
Культура,текст отсутствует,32,29
Спорт,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",12,47
ЖКХ,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",46,10
Транспорт,примите меры! школе хватает учебников учеников х классов.,30,14
Экология,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",56,33
Благоустройство,текст отсутствует,96,29
Транспорт,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",1,4
Транспорт,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,26,47
Благоустройство,погибли бездомные животные изза отравления. отвечает это?,88,8
Экология,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",20,150
не указано,"воды доме номер вторые сутки, прошу срочно разобраться!",97,39
Здравоохранение,"воды доме номер вторые сутки, прошу срочно разобраться!",93,44
Экология,текст отсутствует,10,24
Образование,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,21,13
Экология,текст отсутствует,43,23
Социальная поддержка,"транспорт ходит большими задержками, особенно вечернее время.",18,3
ЖКХ,примите меры! школе хватает учебников учеников х классов.,48,21
Благоустройство,текст отсутствует,93,49
Спорт,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",72,8
Образование,"воды доме номер вторые сутки, прошу срочно разобраться!",99,48
Здравоохранение,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",41,44
Спорт,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,58,3
Образование,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",28,19
Транспорт,погибли бездомные животные изза отравления. отвечает это?,40,26
Здравоохранение,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",34,20
Образование,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,96,46
Экология,примите меры! школе хватает учебников учеников х классов.,44,36
ЖКХ,текст отсутствует,48,14
ЖКХ,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",41,25
Образование,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",56,34
ЖКХ,"транспорт ходит большими задержками, особенно вечернее время.",84,49
Здравоохранение,примите меры! школе хватает учебников учеников х классов.,64,15
Спорт,примите меры! школе хватает учебников учеников х классов.,34,26
Экология,примите меры! школе хватает учебников учеников х классов.,88,24
Экология,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",97,40
Транспорт,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",45,11
Благоустройство,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,19,13
Безопасность,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",24,2
Образование,"воды доме номер вторые сутки, прошу срочно разобраться!",61,43
Безопасность,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",74,17
Безопасность,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",150,39
ЖКХ,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,43,14
Социальная поддержка,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",40,12
Спорт,"воды доме номер вторые сутки, прошу срочно разобраться!",99,37
Социальная поддержка,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",64,3
Спорт,текст отсутствует,53,27
Культура,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,5,31
Спорт,"воды доме номер вторые сутки, прошу срочно разобраться!",70,49
Здравоохранение,"транспорт ходит большими задержками, особенно вечернее время.",40,20
ЖКХ,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",65,31
Здравоохранение,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,1,23
ЖКХ,"воды доме номер вторые сутки, прошу срочно разобраться!",10,34
не указано,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",87,31
Образование,текст отсутствует,10,200
Безопасность,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",41,14
Здравоохранение,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",9,8
Социальная поддержка,"воды доме номер вторые сутки, прошу срочно разобраться!",12,28
Благоустройство,"воды доме номер вторые сутки, прошу срочно разобраться!",25,200
Благоустройство,"транспорт ходит большими задержками, особенно вечернее время.",69,5
Культура,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",95,27
Экология,"воды доме номер вторые сутки, прошу срочно разобраться!",67,45
Культура,"воды доме номер вторые сутки, прошу срочно разобраться!",36,16
Транспорт,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",29,6
Культура,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",63,3
Культура,"воды доме номер вторые сутки, прошу срочно разобраться!",83,24
Благоустройство,текст отсутствует,61,4
Безопасность,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",7,24
Культура,"транспорт ходит большими задержками, особенно вечернее время.",35,13
Спорт,текст отсутствует,25,33
Здравоохранение,текст отсутствует,34,38
Благоустройство,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",56,42
Социальная поддержка,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",3,43
Культура,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,85,0
ЖКХ,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,73,17
Спорт,"транспорт ходит большими задержками, особенно вечернее время.",3,16
Безопасность,погибли бездомные животные изза отравления. отвечает это?,42,7
Культура,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",7,20
Культура,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",19,50
Социальная поддержка,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",39,3
не указано,"воды доме номер вторые сутки, прошу срочно разобраться!",84,9
Безопасность,"транспорт ходит большими задержками, особенно вечернее время.",150,29
не указано,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",17,45
Культура,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",300,10
Культура,текст отсутствует,14,7
Безопасность,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",66,12
Транспорт,погибли бездомные животные изза отравления. отвечает это?,85,12
Социальная поддержка,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",150,44
Спорт,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",91,29
Здравоохранение,примите меры! школе хватает учебников учеников х классов.,6,43
Экология,примите меры! школе хватает учебников учеников х классов.,49,33
Здравоохранение,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,300,3
Спорт,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",39,100
ЖКХ,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",54,46
Образование,"транспорт ходит большими задержками, особенно вечернее время.",40,25
Культура,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",89,7
ЖКХ,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",64,7
Экология,"транспорт ходит большими задержками, особенно вечернее время.",47,4
Здравоохранение,"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",10,4
Культура,примите меры! школе хватает учебников учеников х классов.,53,37
Социальная поддержка,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",6,150
Безопасность,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",3,46
Социальная поддержка,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",55,29
Спорт,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,87,28
Культура,"обещанная модернизация больницы? оборудование устарело, врачи справляются.",21,12
Транспорт,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",32,35
Безопасность,погибли бездомные животные изза отравления. отвечает это?,15,16
ЖКХ,"транспорт ходит большими задержками, особенно вечернее время.",98,2
Культура,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",3,6
Экология,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,90,12
